G;GS;MPG ;FG%;3p%;FT%;OFF ;DEF ;RPG ;APG ;SPG ;BPG ;TO ;PF ;PPG ;Class
26;0;70;314;0;700;8;15;23;2;2;4;3;6;15;2
44;0;71;526;0;833;6;13;19;2;3;5;4;12;17;2
41;15;152;473;0;786;11;30;42;8;3;4;5;18;41;2
482;10;178;508;87;642;18;34;52;5;4;16;8;20;54;2
308;107;184;509;0;668;15;20;34;2;3;13;6;22;27;2
148;2;132;529;0;484;16;28;44;4;3;8;9;19;29;2
54;24;201;536;0;619;16;33;49;14;10;8;8;22;59;2
398;291;305;440;365;824;9;40;49;13;4;9;17;27;154;2
837;429;211;488;162;690;16;35;51;6;5;8;8;26;61;2
457;302;232;595;0;506;25;50;76;10;7;12;10;33;70;2
63;41;231;464;0;483;18;40;58;4;3;18;11;23;52;2
227;150;202;528;0;602;25;38;64;10;9;4;14;27;85;2
408;400;327;522;45;574;28;65;93;23;7;16;20;33;127;2
561;87;189;467;415;780;10;25;35;8;4;3;4;19;68;2
585;270;224;492;111;573;18;38;56;9;5;6;13;23;68;2
392;300;260;566;111;687;24;54;78;12;3;16;16;25;117;2
949;782;300;467;205;672;27;72;99;19;10;24;14;28;97;2
724;527;281;578;0;633;31;59;89;8;6;14;16;31;86;2
675;467;213;412;226;645;13;26;39;9;5;5;9;29;38;2
588;169;232;536;59;728;23;38;61;9;5;6;11;31;71;2
421;74;134;439;382;783;7;19;26;6;3;3;6;19;55;2
145;124;294;439;156;694;33;63;97;21;12;10;30;41;159;2
525;411;249;545;1000;643;18;34;52;5;3;7;22;30;130;2
727;582;258;518;0;704;27;55;82;5;5;19;15;31;80;2
987;771;243;498;125;626;28;43;71;8;3;14;14;29;74;2
338;44;214;443;158;706;16;28;43;8;7;3;10;25;79;2
680;468;301;492;333;708;14;35;49;40;7;6;20;24;95;2
579;92;141;430;200;468;14;23;37;4;4;11;6;21;20;2
69;17;134;546;0;594;8;19;28;4;4;4;7;24;38;2
143;36;204;508;0;624;23;36;59;6;5;9;13;27;77;2
135;7;82;496;0;410;7;13;20;3;1;4;5;17;23;2
764;345;206;497;130;615;28;41;69;9;7;4;8;25;49;2
500;258;239;445;390;814;12;40;52;10;5;7;10;29;97;2
527;164;148;500;0;498;17;27;44;4;5;8;7;24;47;2
1255;1218;365;499;283;790;24;82;106;40;13;15;23;25;193;2
